Student,Vaccin,HndWshQual,HndWshFreq,SociDist,NoFaceContact,RespEttiqu,PersnDist,HandSanit,Risk,Complications,Barriers,Inefficacy,KnowlTrans,KnowlMgmt,Sick,Flu,Female
236,3,2,1,2,1,5,1,1,-0.231,-1.453,-0.226,1.036,0.182,0.335,1,0,0
237,3,4,3,2,2,5,3,3,-0.231,-0.695,-0.543,0.871,0.951,1.059,0,0,0
238,3,4,2,3,1,5,4,5,-0.376,-0.197,-0.543,0.159,0.182,0.684,0,0,0
239,1,2,1,2,5,3,5,1,-0.169,0.376,-0.507,0,-0.554,-1.482,2,1,0
240,5,5,3,5,2,3,4,2,0,-0.864,-0.652,-0.214,-0.951,-0.684,0,0,0
241,4,3,2,2,2,2,3,4,0.169,-0.169,-1.291,0.47,-0.554,0,1,0,1
242,2,5,5,5,1,3,3,4,-0.345,-0.169,-0.498,-0.141,-0.951,-0.335,1,0,1
243,5,5,4,5,3,5,5,4,-1.074,-0.77,-0.543,-0.546,-0.182,0,1,0,1
244,1,5,5,3,5,5,5,4,0,-0.197,-0.658,-0.327,-0.554,0,1,0,1
245,5,5,4,5,5,1,5,1,0,-0.197,0.658,-0.149,-0.182,-1.059,,,1
246,5,4,5,3,3,3,3,1,-0.575,-0.695,-0.543,-0.436,-0.554,0.684,1,0,0
247,1,3,2,2,2,3,1,1,-1.074,-1.074,0.097,0.181,1.393,0.335,0,0,1
248,3,4,3,2,1,5,2,1,-0.181,-0.197,-0.424,0.871,0.554,0.684,0,0,0
249,5,2,3,3,1,3,3,3,-0.169,-0.77,-0.684,-0.618,0.182,1.059,1,0,1
250,5,5,3,5,1,3,5,5,-0.575,-0.77,-0.991,1.336,0.182,0.684,,,1
251,3,3,1,2,1,2,5,4,-0.532,0,-0.247,0.327,-1.393,-0.684,0,0,0
252,5,5,3,3,2,5,2,1,0,0.77,0.856,-0.47,-0.951,-1.059,2,1,0
253,4,3,3,2,1,4,3,1,1.074,0,-0.346,-0.406,-0.951,-0.684,1,0,
254,2,2,3,3,4,5,3,2,-0.864,-0.197,-0.515,-0.618,0.182,0.335,0,0,0
255,3,4,2,3,1,3,3,1,-0.169,-1.074,-0.3,0.871,0.554,0.335,2,1,
256,3,4,3,2,5,2,2,3,0,-0.231,0,0.37,-1.393,-1.482,1,0,1
257,4,2,2,2,1,5,2,3,0.77,0.575,-0.34,-0.499,0.182,-1.059,1,0,0
258,5,3,3,2,3,5,1,2,0.406,0,0.684,-0.633,-0.554,0,0,0,1
259,2,4,3,3,3,5,4,4,0,-0.376,-0.097,0,-0.182,0.684,1,0,0
260,2,1,3,2,2,5,4,5,0.77,-0.169,0.566,-0.37,-0.951,-0.335,,,
261,4,5,3,2,4,3,3,2,0.575,0.169,-0.424,-0.181,-1.393,-1.059,,,
262,4,3,2,3,4,5,4,2,-0.345,-0.169,0,0.141,-1.393,0,0,0,0
263,3,2,2,3,4,5,4,2,0.169,0.197,-0.424,-0.287,0.182,0.335,0,0,0
264,4,5,1,3,1,5,2,1,-0.575,-0.376,-0.235,0,0.554,0,0,0,1
265,2,4,3,3,2,2,3,2,-0.575,-0.376,-0.566,0,-0.951,1.059,1,0,1
266,3,5,3,3,1,2,5,5,0,0,-0.448,-0.327,0.951,0.335,1,0,1
267,5,4,4,3,3,3,3,1,0.169,-0.77,0,0.37,1.393,0.684,0,0,0
268,5,5,4,3,2,5,3,4,-0.345,0,-0.206,0,0.951,0.335,1,0,1
269,4,2,2,2,1,5,3,1,-1.453,-0.77,-0.206,0.181,1.393,0.335,1,0,0
270,2,5,3,3,5,5,4,3,0,-0.77,-0.34,-0.141,0.554,0.335,0,0,0
271,1,5,5,3,5,1,1,4,-1.453,-1.453,-0.441,-0.141,-0.182,-0.335,0,0,0
